S1047279703002448
S0266353899001633
S100093611300157X
S0195666306003539
S1742706111002522
S002243751300056X
S1078588402919052
S0969806X1200309X
S0195666306002157
S0024493709002369
S0195666306003357
S0149197012001199
S0921883112000982
S0016003212001524
S0096300307007679
S1385894709005063
S0025540808000925
S0262885612001308
S0167527312012569
S0306261907001754
S095741741100529X
S0163445305006493
S0901502703904991
S004101011000067X
S0255270106001577
S0960852410012009
S0022437513000765
S0927775712003664
S0016236106002869
S0925838808017453
S1872497307001561
S0195666306002959
S1479666X13000607
S019566630600300X
S1872497307001755
S0020025511006153
S0049384805001805
S0273230009000312
S0165017308000684
S146290110600102X
S0891366811602059
S0307904X08001236
S1877705811023721
S0022437513000959
S0163445305007152
S0928098711002193
S0016508508018829
S0163445305007383
S0090825805008425
S1383586610001413
S0166128009005351
S0924013607010333
S0022169408000474
S001122400800312X
S0163445305006316
S0272884207003306
S0169433206002996
S1164556306000598
S0022437513001035
S0020768306004999
S0924013607010321
S0163445309002606
S0163445305007280
S0141813008002018
S0043164801008237
S0377840111002069
S0969806X13000625
S0167478107001467
S1383576911000559
S001671850500134X
S0952197607001522
S0038109806000147
S0008622310002459
S0009912011015001
S0142061506000299
S0377042705006333
S0022282807009601
S107772291200051X
S0957417408001541
S0304394020222537
S1079979607001155
S0167577X05006130
S0168900209016106
S0169433202004518
S0191308509000045
S0195666306002248
S1567173907000880
S0023643809002667
S0009898106005985
S0141391010003186
S1359646210005269
S0306987707005233
S0006291X10007333
S0169433208021247
S0735193308001929
S0092867410012389
S0022039604002864
S0736574812003620
S0195666306002650
S0012160607005891
S152166160195065X
S003040261100146X
S0016508506026849
S0741521409007770
S0165017310000536
S0959804910011639
S0016236110001584
S0939362512000283
S1568786410002417
S0957417411011444
S0360132310002933
S0957417405000692
S0958694609000764
S0165237011001951
S0169433211016400
S0965174807001683
S1097276511006411
S0094114X10002107
S0032591013002404
S1755599X10000078
S0022311507010185
S0261561409001277
S0144861710009136
S0765159711002346
S0921510702002623
S0166128005009231
S0049384805001817
S1386142506003519
S004040201100994X
S0377025710003083
S0379073810003294
S0163445305006250
S0360835209001867
S0168365907003902
S1443950612002582
S003040261200280X
S0304407601001300
S0001651910000257
S0305048307000060
S187517680900211X
S0306437904000080
S0006295206002115
S0163445305006201
S0950705112002389
S0925400512001207
S0163445305006997
S0957417408006258
S0040402007019643
S0031320310003584
S0261219409001203
S0195666306003448
S0924013607010357
S1007570409002925
S2212826313000249
S0167732207001961
S0022103110001356
S1359431112005212
S0161642006010001
S0895717710003791
S001346860801298X
S0001457507001558
S0022247X11009620
S0883540309004045
S0012160607006598
S0378595509002408
S0167478107001479
S0016703710003728
S0016508508009815
S0360319907000511
S0040609013003374
S1095643306003084
S0891584907006211
S0168827811001875
S0040609007003884
S0012160607005398
S0163445305006146
S1058274612001644
S1386947710003061
S0012160607006574
S0960077907001725
S0022534710043946
S0195666306003217
S1062940808000454
S0096300303005988
S0195666306003369
S1872497307001688
S1875457011000751
S1350448709002893
S0040609007011200
S002228280700911X
